Field, "`Data Type <https://www.elastic.co/guide/en/elasticsearch/reference/current/mapping-types.html>`__", Example(s), Description

host.architecture, keyword, mips, Architecture of the device CPU\, if known.
host.hostname, keyword, relay-1.local, Hostname of the device (if resolved). In the case of a device with multiple communication modules\, this is the hostname of the module PEAT primarily uses to communicate (or first discovered).
host.id, keyword, West-relay-1223423, Unique identifier for the device. Can be anything\, as long as it's consistent.
host.ip, ip, 192.0.2.36, IP address of the device. In the case of a device with multiple communication modules\, this is the IP address of the module PEAT primarily uses to communicate (or first discovered).
host.mac, keyword, 00:00:00:11:22:33, MAC address of the device. In the case of a device with multiple communication modules\, this is the MAC address of the module PEAT primarily uses to communicate (or first discovered).
host.serial_port, keyword, COM8, "Serial port on the local system connected to the device. This could be a Windows COM port, e.g. COM4, or a Linux file path, e.g. /dev/ttyS0. This is also used for USB connections. To get the specific serial settings, lookup the interface with the matching port in interface." 
host.name, keyword, relay-1, Name to refer to the device as\, e.g. as pulled from a config or resolved via DNS.
host.part_number, keyword, "0700G12B1B1B7281A468", "Part number of the device, as defined by the vendor and stored on the device."
host.type, keyword, "PLC, Power Meter", "The class of device, e.g. PLC, Relay, RTU, Controller (catch-all), etc."
host.serial_number, keyword, 1877625, Unique serial number of the device.
host.manufacturing_date, date, 2016-02-11:11:22:33, "When the device was manufactured (physically created)."
host.run_mode, keyword, "PROG, RUN", "Run mode of the device. For example, on a PLC, there may be a key in the front of the device that sets PROG or RUN (program vs running). What this field means depends on the device, for instance a PLC's potential run modes will differ from a RTU's potential run modes."
host.slot, keyword, 1, "Position of the device in a rack or larger device. This can be a relative position, e.g. '0' for the first module in a PLC, or a name or other identifier for the position (such as an internal bus address)."
host.start_time, date, 2016-02-11:11:22:33, UTC timestamp of when the device last powered on.
host.status, keyword, "some_status", "Status of the device. The meaning of this field is device-dependant."
host.uptime, long, 112442424, Seconds the host has been up (powered on/online).
host.module, host, {...}, Physical add-on modules in a device\, e.g. slots in a PLC or rack. These also include add-on components\, such as a wireless radio. These can include analog and digital I/O modules\, COMMs modules (Ethernet\, various serial protocols\, Wi-Fi\, LTE\, etc.)\, CPU modules\, and anything else really. The fields are the same as host.*\, and modules may be further nested (e.g. a module may itself have modules).
"host.extra", flattened, {...}, Additional vendor/model-specific information that doesn't fit into any of the other fields. module is the tool pushing the data. In PEAT\, this would be the lowercase name of the device module\, e.g. m340.


host.description.brand, keyword, ControlLogix\, PowerLogic ION, Brand of the device. Can be empty if not applicable e.g. most SEL devices.
host.description.description, text, "this PLC is used for controlling Process A", "Free-form description of the device, such as a 'description' configuration value extracted from the device or other general information that is useful to note."
host.description.full, keyword, "Schneider Electric PowerLogic ION 8650A", Combination of vendor\, brand\, model\, sub_model\, and any other identifiers. Used to perform lookups with fuzzy string matching.
host.description.full.text, text, "Schneider Electric PowerLogic ION 8650A", Same content as full\, just indexed as text. This enables searching arbitrary words that are a part of the field\, e.g. 'Allen-Bradley' or 'S7-1200'. This is implemented as a Elasticsearch Multi-Field.
host.description.model, keyword, 8650A, Model of the device.
host.description.product, keyword, "PowerLogic ION 8650A", The product identifier for the device\, minus the vendor. This is includes the brand and model.
host.description.product.text, text, SIPROTEC 4 7SJ64, product indexed as text in Elasticsearch instead of keyword.
host.description.vendor.name, keyword, "Schweitzer Engineering Laboratory", The full expanded vendor name. Used for display in a visualization or dashboard.
host.description.vendor.id, keyword, SEL, Abbreviated version of the vendor name that can be used for lookups.


host.event.action, keyword, device-config-change, "What happened in the event."
host.event.category, keyword, host, "ECS category of the event\, out of the `allowed values defined by ECS <https://www.elastic.co/guide/en/ecs/current/ecs-allowed-values-event-category.html>`__. This is usually ``host`` for PEAT data. `Further reading in the ECS documentation <https://www.elastic.co/guide/en/ecs/current/ecs-allowed-values-event-category.html>`__"
host.event.created, date, 2016-02-11:11:22:33, When the event occurred.
host.event.dataset, keyword, metering_reads, What log the event came from. Especially important on devices with multiple log types.
host.event.extra, flattened, {...}, "Other event metadata (this field is not well defined yet)"
host.event.geo.timezone, keyword, America/Denver, "Timezone should be populated when the event's timestamp does not include timezone information already (e.g. default Syslog timestamps). It's optional otherwise. Acceptable timezone formats are: a canonical ID (e.g. Europe/Amsterdam)\, abbreviated (e.g. EST) or an HH:mm differential (e.g. -05:00)."
host.event.hash.md5, keyword, 75926..., MD5 hash of raw event field (event.original) to be able to demonstrate log integrity
host.event.hash.sha1, keyword, 50CD3..., SHA1 hash of raw event field (event.original) to be able to demonstrate log integrity
host.event.hash.sha256, keyword, 5702F..., SHA 256 hash of raw event field (event.original) to be able to demonstrate log integrity
host.event.hash.sha512, keyword, B19FC..., SHA 512 hash of raw event field (event.original) to be able to demonstrate log integrity
host.event.ingested, date, 2016-02-11:11:22:33, "When the event was generated by PEAT, e.g. when it was parsed or pulled from a device. This should almost always differ from 'created' and the two should NOT be confused."
host.event.kind, keyword, "event", "Gives high-level information about what type of information the event contains\, without being specific to the contents of the event. For example\, values of this field distinguish alert events from metric events. `Further reading in the ECS documentation. <https://www.elastic.co/guide/en/ecs/current/ecs-allowed-values-event-kind.html>`__"
host.event.message, text, "Some message", "Simplified message body\, for example a human-readable portion of the raw event. This should be set in addition to setting the original field."
host.event.module, keyword, "SELRelay", "Name of the module this data is coming from, e.g. the PEAT module."
host.event.original, keyword, Power on, "Original raw text of the log entry."
host.event.outcome, keyword, "success", "Outcome of the event. Must be one of: success\, failure\, unknown. `Further reading in the ECS documentation. <https://www.elastic.co/guide/en/ecs/current/ecs-allowed-values-event-outcome.html>`__"
